0.71233	0.71878	0.68032	0.71686	0.85558	0.73539	0.72919	0.67505	0.70341	0.83579	0.70119	0.8553	0.90818	0.81637	0.69638	0.9664	0.63259	0.13133	0.85219	0.87445	0.92013	0.89463	0.73798	0.3134	0.52908	0.65125	0.15884	0.14066	0.49146	0.3114	1.0006	0.95824	0.59061	0.32154	0.56884	0.25247	0.71721	0.15708	0.281	0.5135
0.81062	0.82256	0.66278	0.52945	0.96928	0.93894	0.62747	0.53708	0.50925	0.68651	0.91559	0.72739	0.67262	0.95253	0.7917	0.81283	0.66403	0.15602	0.83162	0.80615	0.75512	0.84372	0.83171	0.2214	0.79514	0.39549	0.35881	0.096552	0.57672	0.19311	0.79498	0.80958	0.32214	0.064091	0.64637	0.44302	0.51678	0.0012712	0.0078382	0.9046
0.72496	0.76093	0.75131	0.68725	0.77715	0.74551	0.53597	0.69781	0.58886	0.73468	0.8237	0.47213	0.85206	0.84359	0.59098	0.65496	0.67432	0.2544	0.78561	0.56951	0.69563	0.84431	0.68138	0.61571	0.71534	0.41656	0.47439	0.028324	0.49952	0.39723	0.73309	0.79395	0.36971	0.0023868	0.5417	0.34774	0.89806	0.27024	0.39985	0.79684
0.56829	0.45744	0.62911	0.48832	0.58879	0.46332	0.56086	0.44925	0.70279	0.90176	0.66104	0.65331	0.71749	0.81035	0.45826	0.78553	0.37649	0.47975	0.57641	0.74286	0.74554	0.78352	0.49345	0.19764	0.59625	0.35315	0.063342	0.92505	0.36325	0.23217	0.84397	0.75248	0.3552	0.074942	0.63327	0.11101	0.67819	0.85816	0.064254	0.82942
0.7555	0.89801	0.71364	0.69259	0.82702	0.60772	0.59085	0.57179	0.83502	0.90309	0.94237	0.73629	0.9713	0.7904	0.74817	0.68873	0.59067	0.24191	0.87271	0.62787	0.72532	0.80733	0.76643	0.44615	0.57398	0.37305	0.34459	0.29136	0.69677	0.49782	0.86622	0.86904	0.31219	0.079056	0.72171	0.58765	1.1102	0.64324	0.3886	0.93593
0.765	0.83362	0.88923	0.85522	0.9762	0.94429	0.91163	0.91862	0.46305	0.67512	0.85123	1.013	0.66178	0.98162	0.91088	1.0139	1.019	0.28402	0.94216	0.94481	0.99175	0.97315	1.0057	-0.059734	0.72146	0.41724	0.53018	0.010651	0.58325	0.56683	0.96415	0.9919	0.45189	0.057983	0.63681	0.4676	0.43231	0.42246	0.14141	0.50476
0.41204	0.81413	0.90367	0.827	0.62295	0.61869	0.88906	0.79205	1.0479	0.92718	0.72024	0.91402	0.92504	0.68871	0.50967	1.0902	0.3326	0.16997	1.0446	0.88643	1.0031	0.79694	0.52729	0.56824	0.33256	0.17154	0.37238	0.34219	0.49723	0.61579	1.0236	0.96499	0.21167	0.095473	0.38706	0.44722	0.98118	0.61629	0.10151	0.87177
0.34428	0.5231	0.61403	0.45767	0.96062	0.79718	0.56321	0.50981	0.6754	0.74485	0.78486	0.67254	0.92218	0.72419	0.85878	0.67646	0.79159	0.35254	0.82956	0.83521	0.71961	0.85098	0.78484	0.46905	0.7139	0.57139	0.26528	0.49853	0.65118	0.30222	0.84137	0.82756	0.49488	0.21652	0.67243	0.56921	1.0955	0.51805	0.13968	0.7767
0.959	1.0104	0.86934	0.88121	0.85287	0.78992	0.90899	0.84418	0.72532	0.86751	0.8978	0.92815	0.93846	0.9573	0.83207	0.96144	0.75907	0.14963	0.95385	0.89117	0.96331	0.84693	0.89047	0.17609	0.79574	0.03629	0.30162	0.55348	0.52351	0.93832	0.97103	0.94258	0.16563	0.081599	0.62626	0.3784	0.90024	0.73907	0.37488	0.63931
0.87999	0.94763	0.82219	0.74894	1.0327	0.83527	0.78685	0.70783	0.43632	0.45563	0.78612	0.77988	0.72263	0.80135	0.91925	0.93148	0.70737	0.32829	0.87518	0.8584	0.88242	0.91287	0.91386	0.35369	0.52137	0.74236	0.35796	0.19097	0.57226	0.70044	0.97386	0.97075	0.5499	0.19633	0.67371	0.44225	0.17576	0.25911	0.23401	0.83677
